Site_ID,Year,mean_cir,count_tree_species,mean_bird_count,count_bird_species
BROG_001,2022,69.875,1,1.6545454545454545,28
BROG_002,2022,76.22222222222223,2,1.9,28
BROG_003,2022,84.94,3,1.6779661016949152,29
BROG_004,2022,56.323076923076925,4,1.4285714285714286,32
BROG_006,2022,62.421875,7,1.7096774193548387,35
BROG_007,2022,193,1,1.646153846153846,34
BROG_008,2022,114.5,3,1.5217391304347827,41
BURR_001,2023,91.5909090909091,4,1.9230769230769231,24
BURR_002,2023,129,2,1.9428571428571428,20
BURR_006,2023,60.05263157894737,5,2,22
BURR_007,2023,67.83333333333333,3,1.5121951219512195,26
BURR_008,2023,188.25,2,2.6363636363636362,26
BURR_009,2023,109,3,2.35,21
BURR_010,2023,102.27777777777777,3,3.825,22
BURR_011,2023,95.92857142857143,3,3.2666666666666666,15
CDR_004,2023,92,1,1.5714285714285714,14
CDR_005,2023,130.5,1,1.75,11
CDR_007,2023,45.575,2,3,10
CDR_009,2023,33,1,1.9375,13
CDR_017,2023,35,1,1,8
CDR_018,2023,42.38461538461539,1,1.0909090909090908,8
CDR_023,2023,84.83333333333333,3,2.5,12
CDR_024,2023,82,3,2.142857142857143,11
CDR_028,2023,37.2,1,1.3333333333333333,3
CDR_031,2023,62.64,2,1.2142857142857142,12
CDR_046,2023,161.83333333333334,1,1.9310344827586208,20
CDR_047,2023,96.1,1,1.5789473684210527,14
CDR_056,2023,46.6875,1,1.25,7
CDR_063,2023,45.3125,3,1.5714285714285714,6
CDR_072,2023,73.5,1,4.666666666666667,10
CDR_073,2023,111.5,1,1.5555555555555556,7
EDGB_008,2023,58.14545454545455,2,2.596774193548387,24
EDGB_010,2023,62.6,3,2.2888888888888888,20
EDGB_013,2023,47.19512195121951,3,1.925,16
EDGB_044,2023,77.5,2,1.653061224489796,22
EDGB_047,2023,56.55555555555556,1,2.6923076923076925,26
EDGB_048,2023,38.666666666666664,1,2.4237288135593222,27
EDGB_049,2023,75.42857142857143,3,1.9411764705882353,22
EDGB_050,2023,91,1,2.388888888888889,18
EDGB_051,2023,80,2,2.2195121951219514,21
EDGB_052,2023,57.785714285714285,1,2.730769230769231,18
EDGB_053,2023,67.65,3,2.263157894736842,16
EDGB_054,2023,121,2,4.333333333333333,17
EDGB_055,2023,80.26315789473684,5,2.09375,15
EDGB_058,2023,62.90909090909091,3,2.4516129032258065,17
EMU_01,2023,108.375,3,2.0782608695652174,32
EMU_03,2023,72.6,1,1.644736842105263,29
EMU_04,2023,68,2,1.9534883720930232,28
EMU_05,2023,43.75925925925926,2,1.8333333333333333,31
EUR_EOM_001,2023,156,1,1.3125,11
EUR_EOM_006,2023,41,1,1,1
EUR_EOM_018,2023,55.1,3,1,3
EUR_EOM_025,2023,165,1,1.3,6
EUR_EOM_026,2023,65,1,1.25,11
EUR_EOM_032,2023,36.611111111111114,2,1.4705882352941178,8
EUR_EOM_036,2023,123.625,1,1.0909090909090908,12
EUR_EOM_045,2023,32,1,1.3333333333333333,6
HAM_EOM_015,2022,78,1,1.3846153846153846,10
HAM_EOM_017,2022,72.8,1,4.666666666666667,10
JCG_001,2023,68.62,2,1.6323529411764706,23
JCG_003,2023,115,2,1.6634615384615385,34
JCG_004,2023,54.5,3,1.9134615384615385,34
JCG_005,2023,69.34693877551021,4,1.675,27
JCG_006,2023,82.65384615384616,4,1.7096774193548387,31
JCG_007,2023,77.24489795918367,2,1.6176470588235294,34
JCG_009,2023,72.38775510204081,3,1.8222222222222222,33
JCG_010,2023,63.68421052631579,2,1.8712871287128714,33
JCG_011,2023,75.12903225806451,3,1.5135135135135136,23
Other,2023,38.473357771261,15,2,165
SCT003,2022,71.45454545454545,2,1.4814814814814814,21
SCT004,2022,237,1,1.6153846153846154,13
SCT005,2022,102.25,3,1.4814814814814814,16
SCT006,2022,87.5,2,1.5333333333333334,21
SCT007,2022,55.785714285714285,3,1.3529411764705883,13
SCT008,2022,180.5,1,1.4210526315789473,12
SCT009,2022,96.5,1,1.7916666666666667,27
SCT011,2022,201.16666666666666,1,3.372549019607843,29
SCT012,2022,73.5,1,1.837837837837838,25
SCT012,2023,65.66666666666667,1,2.4864864864864864,20
SCT013,2022,61.25,2,1.625,22
SCT014,2022,45.88461538461539,1,1.6571428571428573,26
SCT017,2022,72,2,1.7297297297297298,23
SCT020,2022,44,1,1.5,18
SCT030,2022,65.21875,3,1.5833333333333333,25
TAR001,2023,76.57692307692308,5,1,5
TAR002,2023,60.166666666666664,3,2.235294117647059,15
TAR003,2022,54.696969696969695,6,2,5
TAR004,2023,85.81818181818181,5,1.9130434782608696,20
TAR005,2022,33.1187648456057,7,1.2941176470588236,13
TAR006,2021,98.57142857142857,1,1.4285714285714286,7
TAR006,2022,25.402439024390244,2,3.0384615384615383,17
TAR007,2021,53.5,2,1.8888888888888888,15
TAR007,2022,40.355555555555554,4,1.6923076923076923,10
TAR009,2022,155.5,4,4.9,6
TAR010,2023,182,3,2.5555555555555554,8
TAR011,2023,59.86538461538461,6,2.5,13
TAR012,2022,59.94736842105263,6,2.8333333333333335,13
TAR013,2022,45.457142857142856,6,1.78125,19
TAR014,2023,78.9375,6,1.5777777777777777,27
TAR015,2022,30.815300084530854,8,2.111111111111111,8
TAR015,2023,47.81609195402299,7,1.6428571428571428,12
